ESCUELA INDUSTRIAL SALESIANA SAN RAMON,Región de Coquimbo,La Serena,-27.0,-1.0,baja
COLEGIO PROVIDENCIA,Región de Coquimbo,La Serena,8.0,0.0,sube
LICEO IGNACIO CARRERA PINTO,Región de Coquimbo,La Serena,-5.0,0.0,baja
COLEGIO SEMINARIO CONCILIAR,Región de Coquimbo,La Serena,-12.0,-1.0,baja
COLEGIO GERONIMO RENDIC,Región de Coquimbo,La Serena,-12.0,-1.0,baja
ESCUELA EXPERIMENTAL DE MUSICA JORGE PEóA,Región de Coquimbo,La Serena,6.0,0.0,sube
COLEGIO ANDRES BELLO,Región de Coquimbo,La Serena,4.0,0.0,sube
COLEGIO SAGRADOS CORAZONES,Región de Coquimbo,La Serena,-25.0,-1.0,baja
COLEGIO THE INTERNATIONAL SCHOOL,Región de Coquimbo,La Serena,-26.0,-1.0,baja
COLEGIO SERENA,Región de Coquimbo,La Serena,-9.0,0.0,baja
COLEGIO SANTO DOMINGO,Región de Coquimbo,La Serena,1.0,0.0,sube
COLEGIO PARTICULAR SAN JOSE,Región de Coquimbo,La Serena,-15.0,-1.0,baja
COLEGIO INGLES CATOLICO,Región de Coquimbo,La Serena,-3.0,0.0,baja
COLEGIO PEDRO PABLO MUóOZ,Región de Coquimbo,La Higuer,-27.0,-1.0,baja
INSTITUTO SUPERIOR DE COMERCIO DE COQUIMB,Región de Coquimbo,Coquimbo,-15.0,-1.0,baja
LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,Región de Coquimbo,Coquimbo,15.0,1.0,sube
LICEO DIEGO PORTALES,Región de Coquimbo,Coquimbo,-15.0,-1.0,baja
COLEGIO DE ARTES CLAUDIO ARRAU,Región de Coquimbo,Coquimbo,4.0,0.0,sube
COLEGIO PABLO NERUDA,Región de Coquimbo,Coquimbo,-4.0,0.0,baja
COLEGIO BERNARDO OóHIGGINS,Región de Coquimbo,Coquimbo,-9.0,0.0,baja
COLEGIO MANUEL MONTT,Región de Coquimbo,Coquimbo,-10.0,0.0,baja
COLEGIO SANTA MARTA,Región de Coquimbo,Coquimbo,-6.0,0.0,baja
COLEGIO PARTICULAR GABRIELA MISTRAL,Región de Coquimbo,Coquimbo,-10.0,0.0,baja
LICEO PEDRO REGALADO S. VIDELA O.,Región de Coquimbo,Andacollo,-10.0,0.0,baja
COLEGIO PARROQUIAL DE ANDACOLLO,Región de Coquimbo,Andacollo,-29.0,-1.0,baja
LICEO CARLOS ROBERTO MONDACA CORTES,Región de Coquimbo,Vicuóa,2.0,0.0,sube
COLEGIO ANTONIO VARAS,Región de Coquimbo,Vicuóa,4.0,0.0,sube
LICEO ESTELA AVILA DE PERRY,Región de Coquimbo,Ovalle,6.0,0.0,sube
LICEO ALEJANDRO ALVAREZ JOFRE,Región de Coquimbo,Ovalle,-16.0,-1.0,baja
LICEO POLITECNICO DE OVALLE,Región de Coquimbo,Ovalle,-24.0,-1.0,baja
COLEGIO SAN JUAN BAUTISTA,Región de Coquimbo,Ovalle,-23.0,-1.0,baja
COLEGIO SANTA MARIA EUFRASIA,Región de Coquimbo,Ovalle,-10.0,0.0,baja
COLEGIO PARTICULAR GABRIELA MISTRAL,Región de Coquimbo,Ovalle,-11.0,0.0,baja
COLEGIO LA PROVIDENCIA,Región de Coquimbo,Ovalle,-13.0,-1.0,baja
COLEGIO SAN VIATOR,Región de Coquimbo,Ovalle,-19.0,-1.0,baja
COLEGIO AMALIA ERRAZURIZ,Región de Coquimbo,Ovalle,-14.0,0.0,baja
LICEO AGRICOLA DE OVALLE TADEO PERRY BARN,Región de Coquimbo,Ovalle,-5.0,0.0,baja
COLEGIO PICHASCA,Región de Coquimbo,Róo Hurta,-10.0,0.0,baja
COLEGIO REPUBLICA DE CHILE,Región de Coquimbo,Monte Pat,36.0,1.0,sube
LICEO PRESIDENTE EDUARDO FREI MONTALVA,Región de Coquimbo,Monte Pat,10.0,0.0,sube
LICEO SAMUEL ROMAN ROJAS,Región de Coquimbo,Combarbal,-14.0,-1.0,baja
LICEO DOMINGO ORTIZ DE ROZAS,Región de Coquimbo,Illapel,14.0,1.0,sube
LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDE,Región de Coquimbo,Illapel,3.0,0.0,sube
ESCUELA BASICA VILLA LOS NARANJOS,Región de Coquimbo,Illapel,19.0,0.0,sube
COLEGIO SANTA TERESA,Región de Coquimbo,Illapel,-12.0,-1.0,baja
LICEO PARTICULAR LUIS ALBERTO VERA,Región de Coquimbo,Illapel,-13.0,-1.0,baja
LICEO DE SALAMANCA,Región de Coquimbo,Salamanca,7.0,0.0,sube
COLEGIO PARTICULAR SAN FRANCISCO DE ASIS,Región de Coquimbo,Salamanca,-2.0,0.0,baja
LICEO NICOLAS FEDERICO LOHSE VARGAS,Región de Coquimbo,Los Vilos,-11.0,0.0,baja
COLEGIO PARTICULAR SANTA MARIA,Región de Valparaóso,La Ligua,-5.0,0.0,baja
LICEO PULMAHUE DE LA LIGUA,Región de Valparaóso,La Ligua,7.0,0.0,sube
ESCUELA GABRIELA MISTRAL,Región de Valparaóso,La Ligua,1.0,0.0,sube
LICEO JOSE MANUEL BORGONO NUNEZ,Región de Valparaóso,Petorca,-5.0,0.0,baja
LICEO CORDILLERA,Región de Valparaóso,Petorca,3.0,0.0,sube
COL. CATOLICO PDTE.MANUEL MONTT,Región de Valparaóso,Petorca,6.0,0.0,sube
LICEO Y ESCUELA MUNICIPAL,Región de Valparaóso,Cabildo,-3.0,0.0,baja
LICEO DE ZAPALLAR,Región de Valparaóso,Zapallar,-26.0,-1.0,baja
COLEGIO PARROQUIAL FRANCISCO DIDIER,Región de Valparaóso,Zapallar,-7.0,0.0,baja
LICEO MAXIMILIANO SALAS MARCHAN,Región de Valparaóso,Los Andes,-8.0,0.0,baja
LICEO COMERCIAL DE LOS ANDES,Región de Valparaóso,Los Andes,9.0,0.0,sube
LICEO TECNICO AMANCAY,Región de Valparaóso,Los Andes,20.0,1.0,sube
